Gene	WT	hoD	sir1D	sir2	sir3	sir4DK
SPO21	2.51795	2.86028	3.38845	2.22445	2.12758	2.22749
SPO22	11.2945	9.64608	9.91564	7.71446	9.54346	9.34377
SPO23	2.4876	2.80209	3.84064	2.89444	3.45182	2.76573
SPO7	29.0662	31.9223	30.6247	31.5071	29.9137	32.7237
SPO71	2.879	3.33464	2.99238	2.82279	2.75786	2.37787
SPO73	23.2265	22.2953	25.5475	16.9662	23.9192	22.6147
SPO74	1.91254	1.47715	1.68851	3.09765	2.039	0.511793
SPO75	8.68462	6.51685	6.47673	6.83598	7.34452	8.9464
SPO77	4.04169	3.2045	4.44171	6.53249	4.94958	3.13164
SPP1	12.8318	11.4874	12.6677	12.7427	10.149	11.8335
SPP2	24.6984	24.9141	28.3351	32.4678	25.5829	26.0685
SPP381	8.15415	7.08559	8.51222	5.63614	5.92614	5.56556
SPP382	5.37458	4.82375	5.77283	4.61109	4.34123	4.07503
SPP41	5.15722	5.07778	5.50061	4.78353	4.36861	3.75441
SPR1	9.00916	7.08756	6.56623	5.88665	8.01217	9.50004
SPR28	1.69723	1.34476	1.6328	3.04602	2.34428	2.2367
SPR3	0.767713	0.888385	0.942585	0.72595	1.02991	0.981708
SPR6	40.4533	39.9351	40.9777	39.6253	33.0835	45.2981
SPS1	1.619	1.75242	1.58693	2.42126	2.18055	1.83392
SPS100	6.31687	3.69181	4.06855	2.8307	8.67079	7.62856
SPS18	3.37781	2.90384	2.96094	5.1533	2.79705	4.20622
SPS19	2.88543	2.95126	3.1664	2.8575	3.37461	2.86656
SPS2	1.8462	1.62135	1.71761	2.32226	1.74357	2.02028
SPS22	1.83887	1.90364	3.05613	2.04549	2.61001	2.16038
SPS4	1.61389	1.98791	1.57406	2.50457	2.40719	2.83812
SPT10	8.01314	7.26495	8.29175	6.77951	7.18743	7.12711
SPT14	44.3766	42.6336	45.7314	43.8081	33.0737	40.9394
SPT15	114.876	123.661	116.779	115.763	92.1102	93.6069
SPT16	34.2574	33.392	31.9914	30.9732	28.7788	29.9662
SPT2	39.4821	38.1214	43.9234	31.2273	34.9564	41.3897
SPT20	14.7832	15.8958	16.8679	10.1581	13.7878	11.0581
SPT21	5.01747	5.90727	6.35199	4.14077	5.65146	4.97407
SPT23	19.17	16.9265	17.6713	13.1753	17.9037	14.3686
SPT3	21.5069	19.8656	22.7113	18.9021	15.4762	21.838
SPT4	190.773	151.573	168.061	185.441	143.102	129.156
SPT5	35.8342	28.3093	29.9138	22.7485	25.7776	21.8994
SPT6	31.2759	25.7191	28.1126	22.0162	24.0721	22.0302
SPT7	9.83406	8.72507	9.49786	8.21769	8.06316	8.54834
SPT8	11.8474	10.3806	10.4329	11.3754	10.572	10.5199
SQS1	11.2024	11.6729	11.9703	11.2976	9.27687	10.2965
SQT1	80.5492	74.5857	72.212	122.825	74.4915	59.7646
SRB2	103.088	74.9843	66.4173	96.4093	84.4794	107.927
SRB4	11.5675	14.5733	14.3723	10.4171	10.4018	11.841
SRB5	16.8051	17.7121	20.3211	17.7615	16.2784	20.5653
SRB6	46.8799	55.4054	61.3275	65.9417	43.6583	57.7615
SRB7	48.0108	58.1721	56.5171	60.6463	43.3648	44.6269
SRB8	3.43454	3.8212	3.78572	2.89239	3.93378	2.7963
SRC1	11.2196	11.6083	12.2487	9.32161	9.35358	10.0688
SRD1	62.497	61.0517	62.8742	35.6284	59.4625	82.5404
SRL1	1548.36	1027.67	1013.3	708.62	804.029	697.855
SRL2	8.97669	9.30282	10.3919	6.30337	7.72197	7.77773
SRL3	124.054	126.107	149.036	98.4956	88.2732	81.8538
SRL4	0.483566	0.863504	0.431173	0.617401	1.03639	0.985679
SRM1	44.9565	45.7246	44.0801	56.8818	38.5637	40.6952
SRN2	13.8454	19.7457	23.147	16.5339	16.1408	17.0119
SRO7	10.7841	9.60812	9.77006	8.72375	10.8744	8.53092
SRO77	5.82691	4.8645	4.79982	5.94092	5.15799	6.06273
SRO9	2.80287	3.7354	3.0902	3.30623	2.85013	2.78774
SRP1	111.25	91.0792	86.1562	107.329	98.7988	104.398
SRP101	61.7867	55.6065	60.1327	51.7188	48.9162	50.3519
SRP102	31.5465	39.0555	41.1939	46.0695	32.1388	38.4645
SRP14	86.1969	113.607	112.678	124.28	94.9829	101.037
SRP21	59.8825	83.9631	80.2679	90.6956	65.786	80.4907
SRP40	53.6251	61.2075	54.1042	72.6036	52.1982	45.5033
SRP54	63.5534	57.9906	55.7825	63.5762	49.0455	60.0729
SRP68	58.4951	53.3488	52.4946	60.2933	48.0731	48.6947
SRP72	38.0209	45.1229	47.6664	42.6758	36.0328	35.2238
SRS2	8.82779	7.06914	6.67812	4.93759	5.03714	4.72979
SRT1	0.830457	1.48919	1.14829	1.81445	1.41204	0.772523
SRV2	76.5673	72.9219	74.8096	55.3533	70.6508	84.12
SRX1	3.60889	3.6337	3.42813	4.14497	2.81711	5.04018
SRY1	81.7847	94.7208	107.407	71.5593	107.769	131.07
SSA1	362.88	560.271	590.188	240.451	884.156	840.339
SSA2	1033.8	1519.08	1362.44	635.349	1763.82	1512.17
SSA3	8.79647	7.80941	8.11751	10.6042	9.5387	10.5
SSA4	15.1307	18.0511	22.3041	13.061	23.0825	19.7786
