Gene	WT	hoD	sir1D	sir2	sir3	sir4DK
AAC1	18.6031	12.7752	15.7874	15.1798	21.0828	19.1121
AAC3	31.658	22.2841	21.0942	9.10598	17.4103	28.0278
AAD10	25.1574	25.5879	32.5493	16.8328	24.0779	27.9439
AAD14	9.61098	9.45894	10.6856	10.3708	11.6972	10.9466
AAD15	2.0635	1.0797	1.28329	7.22348	10.0648	10.4064
AAD16	37.7799	24.4346	26.8705	35.4945	27.213	35.3
AAD3	15.3931	11.2379	12.4382	20.4744	15.955	17.888
AAD4	15.8884	12.7443	13.5868	11.3513	15.6448	21.5283
AAD6	19.3502	16.9043	16.6064	17.6934	17.6102	20.2873
AAH1	95.4132	62.2482	53.3915	146.138	64.2428	53.5215
AAP1	38.3626	31.1811	30.813	31.3196	38.8667	34.7793
AAR2	4.18047	3.58342	3.24814	2.05624	3.73572	2.58092
AAT1	47.7947	38.4705	38.407	50.2638	43.9187	46.2489
AAT2	311.49	269.833	256.899	342.293	311.615	306
ABD1	29.0684	29.9764	32.7617	35.8315	25.6392	30.1543
ABF1	13.9792	10.8385	9.85959	7.90126	10.1324	9.67205
ABF2	159.936	145.541	153.12	133.723	137.157	149.138
ABM1	1.18078	3.17808	1.46662	3.25592	3.44571	6.09074
ABP1	50.8153	51.2828	52.0774	29.4323	43.2019	59.6241
ABP140	64.6288	56.9729	59.7888	54.7202	48.7866	61.6776
ABZ1	21.9238	19.3948	19.6511	19.1899	18.8102	16.8281
ABZ2	33.6112	37.8466	39.1354	30.8593	32.1794	35.7785
ACA1	49.2558	47.4	48.1591	34.1669	46.9913	46.7096
ACB1	1171.71	1027.35	988.319	781.629	1064.05	1383.98
ACC1	153.772	141.197	143.168	99.2097	148.165	141.846
ACE2	6.54531	6.95001	7.14998	4.82779	5.27793	5.02
ACF2	18.0722	14.6489	15.8468	15.6642	17.4681	17.6827
ACF4	15.784	17.1694	17.2721	12.613	12.5647	16.2095
ACH1	24.0897	21.4419	23.4268	14.8936	30.9988	31.2008
ACK1	11.1095	10.4627	10.9325	7.95301	8.76975	7.7428
ACM1	11.645	13.1162	12.4466	11.2079	9.26987	12.401
ACN9	34.6461	46.4596	53.5493	46.7384	51.9618	43.4176
ACO1	216.517	160.864	179.163	155.645	276.127	199.865
ACO2	20.3254	20.0554	21.0194	20.0312	21.0121	17.8748
ACP1	488.354	378.174	338.045	446.473	388.355	462.927
ACS1	8.88998	6.89299	7.608	6.93033	7.50238	8.17808
ACS2	315.95	294.378	350.257	256.106	527.144	341.218
ACT1	2784.28	2234.27	2267.25	1877.04	2291.47	2670.94
ADA2	7.99132	7.60539	8.27522	7.01819	5.49312	5.53331
ADD37	28.6747	33.1803	34.5572	30.176	29.8399	31.5046
ADD66	43.6745	44.6213	44.3623	41.7948	41.4125	50.5068
ADE1	255.637	242.272	257.431	317.846	213.167	269.343
ADE12	260.086	235.758	238.124	334.508	287.399	314.556
ADE13	477.735	419.888	444.395	538.286	475.977	530.743
ADE16	122.605	113.098	117.712	98.3907	116.343	127.486
ADE17	283.061	248.627	261.65	298.325	319.229	340.432
ADE2	79.5753	88.687	92.1524	113.183	93.4321	104.871
ADE3	197.284	183.839	193.109	164.443	220.968	214.253
ADE4	49.4554	42.8459	40.9018	63.165	41.2868	47.4138
ADE5%2C7	399.372	291.783	291.008	408.237	335.613	335.97
ADE6	134.616	105.273	106.773	120.688	103.754	111.234
ADE8	125.127	102.488	104.116	124.094	96.5858	123.182
ADF1	9.15015	8.59769	8.28745	18.9077	6.24905	8.9526
ADH1	22987.1	19038.4	17431.1	14371.1	20651.8	27153.6
ADH2	35.2247	28.8269	29.0905	21.922	29.5979	35.9815
ADH3	421.298	389.283	368.822	350.424	416.976	495.73
ADH4	89.5373	84.7285	85.5856	72.4707	170.196	251.082
ADH5	176.96	175.56	208.891	73.4985	233.876	318.645
ADH6	250.535	201.706	186.729	205.747	211.898	219.353
ADH7	11.018	9.56461	10.6208	15.1081	15.3017	15.339
ADI1	146.404	176.801	211.478	182.543	264.091	287.105
ADK1	1047.48	1016.63	989.725	1006.94	1036.59	1195.72
ADK2	14.7573	14.7289	13.7409	13.5331	12.8252	14.9261
ADO1	647.262	435.7	435.719	566.837	429.859	465.248
ADP1	31.1232	24.9603	26.062	22.8741	31.4533	30.9017
ADR1	4.43212	4.55108	6.28485	4.23131	7.84452	4.59584
ADY2	3.79499	2.96014	3.23545	3.11281	3.35726	3.39843
ADY3	4.12233	5.20654	5.22984	4.32237	5.09856	5.57004
ADY4	14.7611	12.7572	14.4791	18.1122	14.3544	15.8839
AEP1	13.2491	15.9585	15.4014	13.0628	12.6712	12.8227
AEP2	9.33603	11.122	11.5814	9.96375	10.4895	9.71498
AEP3	5.26485	5.82505	6.40233	5.09028	5.62563	6.09226
AFG1	57.0413	45.5238	47.2279	47.8667	56.6783	64.2779
AFG2	18.6675	14.9346	14.2608	22.1563	16.9882	14.7202
AFG3	19.7066	19.5967	19.2985	21.5155	20.7976	19.5587
AFI1	4.9453	4.58669	5.17016	5.35168	5.60654	4.75401
AFR1	13.7612	16.1981	23.662	12.2865	13.6458	16.2445
AFT1	12.3403	14.6525	13.4169	15.4631	16.575	12.9156
AFT2	15.2613	16.7848	16.8923	15.2298	12.2146	14.1773
AGA1	18.8061	15.6068	75.2313	8.12761	13.2983	7.56942
AGA2	87.7839	65.7223	300.102	0.465369	1.99265	2.3306
AGC1	10.8904	10.3582	11.4177	7.77346	10.1939	9.17365
AGE1	39.2245	34.0403	31.7922	38.5609	34.2137	31.0651
AGE2	46.8137	56.2734	55.1445	54.7793	52.5616	61.8169
AGP1	303.553	222.923	222.245	128.247	198.741	227.982
AGP2	8.26467	6.93018	8.01909	7.9539	11.221	9.39452
AGP3	5.0974	4.62404	4.64989	5.7775	6.42964	6.65893
AGX1	11.0363	9.66993	10.8895	12.5763	13.8545	17.1784
AHA1	101.173	124.918	135.529	80.9321	152.53	139.956
AHC1	21.25	20.2602	20.845	17.1426	21.1467	18.3642
AHC2	81.3721	97.376	99.8426	73.0715	70.5875	53.7672
AHP1	218.247	276.669	361.28	480.647	438.569	526.587
AHT1	1.4449	1.66805	1.54635	1.98791	2.9806	2.71459
AI1	0.255271	0.378754	0.0786406	0.129611	0.116636	0.0219381
AI2	0.154368	0.56484	0.0823079	0.0965176	0.0553069	0.0367871
AI3	0	0	0	0	0	0
AI4	0.0388415	0.0728912	0	0.0886992	1.24697e-05	0.0638745
AI5_ALPHA	0	0	8.30178e-06	0	0	0
AI5_BETA	0	0	0	0	0	0
AIF1	0	0	0	0	0	0
AIM1	75.5833	70.1907	70.9197	79.9589	68.5162	64.0373
AIM10	7.58723	9.78048	10.8963	6.58495	9.18028	8.10384
AIM11	19.119	23.3593	23.1427	32.9013	24.7096	31.9339
AIM13	33.3228	45.5124	49.9196	63.1572	40.1635	45.2162
AIM14	28.526	25.062	28.8748	27.4913	38.1895	30.305
AIM17	149.354	152.357	156.934	126.669	239.419	277.904
AIM18	23.1386	22.8749	23.5603	24.5003	29.6776	29.4465
AIM19	74.9872	62.8924	67.5651	64.4194	87.3251	111.933
AIM2	59.026	54.7841	60.1338	68.8522	65.7283	72.4728
AIM20	39.3821	36.6316	37.829	35.2142	29.5675	27.3176
AIM21	21.1409	21.2353	23.8266	15.1837	17.2806	23.7408
AIM22	12.3056	15.0788	15.2014	15.8243	13.26	13.9759
AIM23	8.36188	11.5694	9.88581	8.50242	8.42662	9.59275
AIM24	27.5035	31.1783	34.2249	29.105	29.7796	30.6794
AIM25	30.5026	31.142	32.3785	38.8566	35.3531	40.4327
AIM26	4.71228	2.88032	5.26506	4.809	5.44911	5.17078
AIM27	202.096	149.334	148.682	170.429	156.575	172.394
AIM29	130.749	122.349	126.356	138.012	122.285	130.59
AIM3	12.0624	13.6098	14.5557	7.53135	13.2049	12.073
AIM31	44.0543	49.6223	53.2648	58.9745	47.097	61.3878
AIM32	9.8202	10.938	10.8919	10.1669	11.1185	10.0896
AIM33	8.33912	7.27065	9.07227	9.34864	9.44056	8.59132
AIM34	16.4109	14.7829	14.4148	13.8841	11.7763	10.0823
AIM36	36.2021	29.7657	27.7469	29.0934	30.8823	32.5023
AIM37	47.0691	53.943	60.7782	59.5495	65.2703	55.0599
AIM38	90.9893	86.5592	87.7215	105.336	91.2642	104.639
AIM39	11.6429	14.5794	16.1446	10.966	13.2783	13.5147
AIM4	14.0625	17.8492	15.9369	19.5983	18.3202	24.8587
AIM41	41.9145	56.4039	66.2647	46.5188	50.499	62.7214
AIM43	31.218	29.9128	32.9361	32.5463	31.1227	32.2269
AIM44	11.2991	13.5481	13.041	8.90683	9.31624	9.45062
AIM45	119.823	96.7264	93.4896	121.367	100.673	100.19
AIM46	56.099	50.6807	52.3025	58.6443	64.2669	83.6643
AIM5	57.9354	85.7688	82.2489	88.1852	67.4749	68.8121
AIM6	86.7618	73.5242	72.2678	55.065	73.7582	79.0318
AIM7	122.219	137.63	142.363	114.863	133.296	183.201
AIM9	34.5253	39.3347	43.2684	25.8254	36.38	38.6002
AIP1	59.6789	55.429	58.4439	42.9352	63.1912	59.0144
AIR1	18.1259	19.9918	21.8013	27.0083	18.6804	18.2636
AIR2	13.3516	14.2088	16.1583	13.3528	13.2384	14.0988
AKL1	15.571	16.7956	18.6227	10.2846	16.9053	17.1132
AKR1	48.0155	38.3575	38.7888	43.2767	42.1202	34.2366
AKR2	29.8223	20.6327	17.6661	20.8934	24.9314	22.096
ALA1	139.225	110.15	103.709	118.752	105.235	104.022
ALB1	92.1913	83.723	68.4549	170.232	54.2326	58.8316
ALD2	17.6338	15.7098	17.4409	12.9696	15.4933	19.0399
ALD3	7.98984	9.9521	10.5281	7.50473	10.4765	11.9209
ALD4	20.9275	22.5671	29.298	24.8373	35.3943	32.2234
ALD5	226.77	248.067	234.508	214.521	193.055	166.047
ALD6	97.2718	100.062	118.183	119.39	201.498	195.176
ALE1	159.559	114.92	113.986	47.9037	101.917	114.872
ALF1	15.5584	14.1158	14.0748	16.3081	14.3713	19.955
ALG1	51.1638	44.5523	43.4152	51.9605	50.3671	50.3859
ALG11	33.1675	29.7699	29.0603	32.0277	30.7045	30.2492
ALG12	67.2843	51.8498	54.6664	35.6899	60.0207	48.2651
ALG13	22.6526	25.3403	29.2514	23.7704	29.5394	30.4476
ALG14	58.3167	39.4618	44.1213	45.5211	53.3967	44.3069
ALG2	27.2528	23.7907	22.1191	24.9853	24.943	21.4274
ALG3	68.4834	43.0083	40.4049	46.8869	42.9492	42.9243
ALG5	38.4272	36.4382	35.8033	47.3755	32.4137	37.0687
ALG6	113.444	75.8921	81.6847	64.9501	86.4341	81.1904
ALG7	72.8708	46.0021	43.7094	42.8766	45.6494	46.2151
ALG8	84.7614	62.4447	63.7244	49.7717	71.1219	53.6465
ALG9	88.2242	65.6143	63.2569	67.189	77.6731	65.6014
ALK1	15.6479	15.6857	15.2148	13.7622	12.4907	10.106
ALK2	13.295	10.7428	9.93001	13.8365	10.4209	8.99015
ALO1	68.191	53.0979	47.4873	64.9494	54.7844	53.953
ALP1	1.94701	1.59415	1.63536	1.95293	1.51577	1.68509
ALR1	46.1744	37.2261	35.7702	42.288	37.8887	31.1527
ALR2	11.2828	9.17848	10.8033	7.13132	8.51768	7.20484
ALT1	100.866	77.6229	77.5312	65.0082	101.295	106.102
ALT2	22.5191	17.25	14.6256	24.8402	20.1805	22.8359
ALY1	14.7437	12.9395	13.6089	11.1482	12.4015	10.6117
ALY2	8.06782	7.60787	8.38997	8.52193	8.76338	8.77183
AMA1	0.643044	0.551816	0.777626	0.539186	0.573549	0.580125
AMD1	17.416	16.1213	14.8546	23.1741	18.3505	18.5868
AMD2	21.9228	24.8837	28.6102	22.3454	19.3436	27.0125
AME1	13.8388	14.747	15.6937	14.6205	13.4902	12.3019
AMN1	102.484	89.2807	100.518	39.4497	39.5189	33.5885
AMS1	6.01921	6.33143	7.57382	5.12921	7.59458	7.19664
ANB1	178.698	149.639	164.825	24.6	240.118	426.328
ANP1	53.3149	51.5258	57.5121	47.9678	52.6446	45.2808
ANS1	0.340867	0.565638	0.312579	1.2562	0.910731	0.168783
ANT1	43.7052	34.1413	31.0809	48.8168	44.3771	41.8357
AOS1	27.7411	32.6337	35.4552	28.8462	27.1482	32.3328
APA1	281.183	293.578	291.255	219.452	313.825	356.406
APA2	36.6372	34.4306	36.2944	33.1099	40.5017	48.6388
APC1	4.21317	3.56455	4.21153	4.07039	4.65065	3.89285
APC11	64.8944	71.4799	68.33	97.4091	72.9457	78.2275
APC2	6.73214	7.43288	7.87702	5.97171	6.38762	5.45411
APC4	6.57806	6.48329	7.38079	6.26163	6.56299	6.77991
APC5	7.37579	9.54683	10.0289	8.02363	8.45382	8.96304
APC9	10.2832	10.0271	11.8574	11.4941	8.40804	16.0552
APD1	93.0369	86.2542	101.178	82.2062	86.3216	109.372
APE2	56.9716	52.1933	56.1613	35.6091	58.6503	61.5134
APE3	700.765	540.946	527.872	440.249	586.802	601.308
API2	1.25941	0.686075	1.21769	3.93796	0.710969	2.15202
APJ1	15.3522	17.7587	18.197	6.85129	19.922	22.3088
APL1	24.2753	27.5867	30.0116	22.708	27.2644	29.6549
APL2	36.2457	31.6612	34.4768	25.1705	32.9657	28.5549
APL3	8.32912	8.45285	8.33591	7.48553	7.64494	8.23096
APL4	27.3574	26.5706	26.412	20.6177	25.6958	22.7778
APL5	15.9637	18.7629	20.6521	15.527	18.303	17.721
APL6	23.7072	23.8982	24.4658	22.3662	24.0286	24.5122
APM1	40.9632	38.2766	39.4019	26.4336	34.643	37.7063
APM2	12.2118	12.4286	14.3147	8.97273	9.7882	11.5255
APM3	21.8186	23.2688	25.113	26.4397	20.8543	23.9793
APM4	96.9847	79.8598	80.6805	73.3069	89.535	97.5534
APN1	32.9937	34.4291	33.9594	33.8985	27.7631	27.7959
APN2	11.2837	11.1852	12.9193	11.0813	11.5342	14.9491
APP1	24.6942	26.079	26.5246	21.9745	24.9908	25.5515
APQ12	163.134	148.167	130.791	178.18	157.123	147.568
APQ13	18.4628	23.103	20.5306	41.7245	21.504	31.0243
APS1	17.0452	19.7297	23.6793	28.9834	19.5678	23.4833
APS2	62.3228	56.7837	60.7507	86.0681	70.4345	72.1057
APS3	33.9039	40.6454	39.603	44.5061	38.9452	37.7964
APT1	605.133	349.491	331.497	586.786	393.512	422.785
APT2	174.807	105.737	106.444	143.067	141.797	155.205
AQR1	31.5044	21.6561	18.7356	23.266	22.2616	12.152
AQY1	6.55293	4.8315	6.19604	5.9223	6.71391	6.20093
AQY2	25.2307	20.7297	18.5973	17.4393	13.4507	14.8543
ARA1	124.99	125.034	145.596	103.838	157.276	184.357
ARA2	24.5981	19.0622	20.7479	28.0056	25.4526	28.7066
ARB1	228.446	180.942	168.952	289.938	221.195	199.937
ARC1	278.968	277.096	260.414	270.702	231.737	311.253
ARC15	248.662	229.121	247.309	202.887	223.711	292.61
ARC18	151.052	173.562	184.41	124.165	166.21	203.315
ARC19	259.086	235.925	245.358	225.58	237.28	313.712
ARC35	127.41	150.234	157.611	112.571	145.414	157.235
ARC40	259.485	203.894	217.901	195.983	251.783	282.176
ARD1	64.1192	62.8974	61.5566	77.6517	48.7639	74.5822
ARE1	65.3397	43.499	42.7414	36.9425	58.6898	57.9441
ARE2	63.2412	66.3792	82.101	78.9869	146.862	116.551
ARF1	805.183	847.2	800.898	881.22	698.161	802.176
ARF2	244.365	211.174	221.412	186.299	214.186	247.571
ARF3	31.7213	31.5769	31.8229	39.6026	32.5909	36.4562
ARG1	104.782	123.006	122.862	66.661	100.586	117.271
ARG2	15.4983	15.9861	17.9578	14.092	17.0734	17.4433
ARG3	16.2866	20.6875	17.3617	9.95995	16.0779	15.2165
ARG4	243.361	278.31	363.75	120.537	219.778	244.347
ARG5%2C6	30.475	34.7288	35.8141	19.3652	31.7704	27.9089
ARG7	96.8112	95.5237	105.486	89.942	93.1305	113.562
ARG8	29.4719	29.2568	27.8738	26.8904	22.5915	25.0591
ARG80	48.3571	36.4309	40.7849	58.3941	45.3651	43.7611
ARG81	12.4338	12.7765	13.2966	11.6259	12.4004	10.118
ARG82	9.56293	9.90552	10.9021	12.0961	9.74875	11.5337
ARH1	20.1832	18.5846	18.5825	18.5624	17.7156	19.0891
ARI1	70.2066	91.0616	91.6415	57.2708	74.4429	94.0878
ARK1	32.2968	31.6225	29.4503	33.0151	32.073	34.9701
ARL1	84.0118	85.1516	87.2514	104.017	74.6131	92.073
ARL3	29.2405	27.7842	31.0958	29.6776	26.3015	25.1437
ARN1	13.2002	10.5398	9.75345	17.1471	11.3595	10.0341
ARN2	13.5026	12.612	13.0217	20.7479	16.2153	15.2236
ARO1	71.5355	56.2944	58.9358	39.2662	56.1271	57.3334
ARO10	54.8696	55.7008	60.6618	43.115	98.5319	79.3805
ARO2	325.57	318.144	318.46	294.676	300.941	299.536
ARO3	220.125	246.698	277.044	193.859	225.294	280.627
ARO4	933.115	755.776	734.849	736.156	747.517	918.246
ARO7	43.4759	43.0647	44.6188	62.1744	46.3639	44.0916
ARO8	356.53	287.502	292.826	280.815	301.273	352.275
ARO80	6.77106	8.24073	10.2325	7.39148	7.7534	7.8707
ARO9	62.4319	57.6297	62.4128	75.7308	116.246	91.6819
ARP1	8.54847	9.02235	9.4662	11.649	9.28653	8.83608
ARP10	0.923682	0.746718	1.17821	1.75194	0.684298	1.65545
ARP2	131.2	138.964	153.654	98.2735	136.059	156.111
ARP3	140	131.685	134.825	101.871	141.08	167.963
ARP4	42.8153	46.2127	47.8066	39.9197	37.3388	45.3803
ARP5	16.1339	19.7046	19.9772	16.1089	14.9347	18.4969
ARP6	21.7422	20.8305	21.8916	21.2394	20.1531	21.4686
ARP7	27.3406	27.1006	28.2514	20.7666	20.726	21.3811
ARP8	13.383	13.1474	13.5772	11.1975	12.0037	11.7359
ARP9	42.082	40.9727	40.1739	37.014	35.4604	36.361
ARR1	38.4491	33.2374	36.0449	35.2084	43.0342	45.9756
ARR2	6.11872	8.23395	6.75582	7.31053	8.47255	9.81234
ARR3	4.27053	3.80615	3.35526	4.10473	4.04051	3.55007
ART10	8.18961	11.3488	13.168	10.3755	10.3105	11.438
ART5	8.3257	5.87884	5.96658	4.08932	6.36794	4.70924
ARV1	13.2862	12.4169	10.9013	12.5513	13.0962	11.3483
ARX1	47.9241	42.121	37.1477	80.8003	40.3079	32.6708
ASA1	16.2234	14.4367	14.4784	15.7766	13.7364	15.798
ASC1	6504.26	4415.22	3968.44	5089.68	4413.97	4493.04
ASE1	10.4735	10.4411	11.6655	7.7438	10.0894	9.53682
ASF1	16.6415	17.1611	19.7411	14.441	13.204	17.8466
ASF2	11.4935	11.0035	10.7023	7.87533	9.15804	9.07838
ASG1	6.90146	10.1967	10.4479	5.92037	9.0238	5.86675
ASG7	9.6357	6.535	19.3544	5.49008	3.36085	4.98956
ASH1	81.3297	75.5757	75.4859	74.5492	56.0514	61.3473
ASI1	51.9326	40.9113	43.3225	34.7254	45.7596	50.4156
ASI2	33.2678	27.0826	28.6564	23.0106	27.1054	35.5737
ASI3	27.5041	22.95	24.0749	22.6716	25.3196	24.0378
ASK1	18.4276	18.1548	18.7724	19.1289	15.244	16.7113
ASK10	48.5259	43.1717	44.6477	27.2193	43.8809	41.7333
ASM4	36.5166	33.7413	32.5099	26.5987	31.4424	27.3998
ASN1	405.207	497.328	480.19	399.409	450.517	466.061
ASN2	313.971	281.376	274.871	265.812	287.924	267.822
ASP1	201.011	131.411	120.269	174.44	132.364	133.759
ASP3-1	124.785	84.5454	88.8196	95.7593	83.781	110.686
ASP3-2	124.785	84.5369	88.8095	95.7593	83.6865	110.686
ASP3-3	124.785	84.5085	88.7037	95.7593	83.7239	110.686
ASP3-4	124.785	84.5197	88.8005	95.7593	83.7038	110.686
ASR1	14.0193	12.8238	15.6366	14.556	12.7619	14.9022
AST1	52.5724	47.2821	45.4026	56.091	42.4956	51.1707
AST2	14.1166	14.4253	14.0167	14.5771	16.1719	19.0359
ATC1	35.5186	30.1966	31.9934	37.512	35.2916	27.4805
ATE1	20.279	19.4211	18.8029	18.3676	19.0979	20.797
ATF1	53.6109	44.1933	41.5065	33.4943	45.3249	52.6737
ATF2	27.3897	22.2917	18.5154	20.9033	24.5262	21.0354
ATG1	6.75003	6.58849	7.69369	5.03712	9.18643	7.45196
ATG10	9.76809	8.69222	8.17901	12.8552	12.1665	11.5202
ATG11	4.6748	4.7444	5.23778	5.0625	5.3244	4.72601
ATG12	11.3003	11.679	17.0606	10.5799	9.95708	10.408
ATG13	8.05591	10.4692	13.2279	5.23129	9.73082	8.36512
ATG14	4.75944	4.80407	5.93556	6.69551	5.66686	4.46612
ATG15	16.7039	12.1428	12.452	8.31507	13.3548	10.2319
ATG16	3.3887	4.10779	4.12877	2.79903	3.07451	4.02678
ATG17	4.45139	5.82585	7.66589	3.91364	4.90338	5.50883
ATG18	26.319	19.409	21.9457	23.9006	25.9203	30.2465
ATG19	14.7124	16.6807	18.7551	14.541	12.765	13.1414
ATG2	3.98454	3.92204	4.38012	4.371	5.10933	5.08826
ATG20	10.2862	12.8683	14.6333	9.36189	9.73837	11.7552
ATG21	18.3246	21.024	23.9229	17.0309	20.0056	22.2382
ATG22	42.1278	23.8713	29.8813	20.3142	23.3299	25.3334
ATG23	6.81807	8.15983	9.93163	7.04225	6.98791	7.31899
ATG26	8.61943	9.17728	9.69544	7.50793	8.83421	9.1301
ATG27	120.89	93.5338	98.7216	109.755	107.782	116.652
ATG29	19.8917	19.2465	17.8053	14.7492	17.0064	18.5664
ATG3	21.5666	21.2704	25.4974	16.6068	19.8569	22.4861
ATG32	10.9296	9.59348	10.6882	10.1342	11.5392	10.5593
ATG33	72.7176	53.2692	56.6412	55.3525	68.0792	89.1387
ATG34	7.03863	7.86951	9.34409	7.30975	11.5151	11.8425
ATG4	11.8058	11.9144	12.9725	10.586	10.8788	12.9471
ATG5	73.6135	72.4999	71.8592	70.3817	83.1784	96.2658
ATG7	9.42188	8.56529	8.52584	5.90765	9.13938	9.48946
ATG8	53.2244	66.7753	76.6801	44.5616	58.2971	68.7132
ATG9	5.33318	5.87905	5.80656	3.66406	5.86394	6.36292
ATH1	5.49706	6.5052	6.52581	4.03373	5.93414	6.75965
ATM1	17.8534	17.2231	16.9811	18.2625	15.8315	15.6775
ATO2	15.7611	13.5888	16.1471	15.5001	20.0523	25.197
ATO3	102.302	73.1909	65.121	86.419	89.5169	98.5915
ATP1	254.546	229.744	240.702	224.568	302.557	244.397
ATP10	8.15545	7.52267	6.57247	5.46452	8.95401	6.78739
ATP11	52.6646	59.3098	60.3845	51.8662	48.3304	49.8026
ATP12	21.2388	22.5544	22.3096	22.4211	20.8581	19.0629
ATP14	153.383	163.811	192.686	206.804	206.009	199.171
ATP15	516.335	444.295	471.178	506.731	490.04	537.39
ATP16	178.822	167.148	176.942	233.204	207.09	190.745
ATP17	226.822	187.605	213.766	271.3	234.36	262.02
ATP18	416.205	497.728	600.196	705.638	535.575	617.332
ATP19	240.681	266.082	285.962	421.683	294.38	372.998
ATP2	650.984	495.283	522.937	533.561	656.505	613.094
ATP20	72.7399	95.3706	98.1124	127.174	98.3083	103.562
ATP22	20.4295	21.587	22.7195	21.1946	20.719	18.5529
ATP23	7.22627	7.10737	8.44092	11.8773	7.13362	7.25296
ATP25	13.1945	11.7824	13.0356	12.2143	11.3994	10.8772
ATP3	127.69	140.14	150.498	153.951	145.995	135.431
ATP4	165.599	186.437	198.014	192.092	196.381	198.998
ATP5	248.893	205.939	217.392	333.246	262.141	255.845
ATP6	0.0577828	0.104043	0	0	0	0
ATP7	211.712	197.898	224.949	230.168	238.432	240.12
ATP8	0	0	0	0	0	0
ATR1	22.8321	17.9458	20.4675	23.826	25.1197	20.905
ATS1	31.3009	22.3778	25.2929	27.7572	24.7966	32.1949
ATX1	79.8039	92.92	78.5609	102.849	67.4013	65.0165
ATX2	94.8836	61.5082	63.7434	75.5994	61.2882	64.5331
AUA1	154.557	161.515	146.144	184.151	116.386	205.978
AUR1	153.189	94.6096	88.0229	115.2	95.9263	92.8574
AUS1	9.4107	6.47173	6.45158	6.66495	9.30459	7.70065
AVL9	17.8839	19.1081	20.5971	15.8735	16.5739	17.4788
AVO1	4.55957	5.32564	5.06304	4.70471	3.78577	3.97181
AVO2	8.63933	8.50163	9.60116	6.03396	8.08797	8.16212
AVT1	101.954	65.2287	67.8153	55.1662	76.0114	72.9897
AVT2	14.9862	11.5784	10.2376	10.3778	11.5172	9.05618
AVT3	45.4976	35.4327	37.6935	32.4932	52.3331	41.4387
AVT4	63.9116	49.0846	51.2189	34.7896	54.4211	42.9393
AVT5	27.7726	22.673	24.3986	22.6971	27.4735	26.2553
AVT6	36.5808	25.5066	26.7052	21.9489	30.1329	34.6612
AVT7	77.7561	67.2994	65.9902	47.6301	70.2192	67.5406
AXL1	15.0182	12.1973	14.739	4.30155	3.63892	2.88311
AXL2	49.6688	34.5739	31.9102	14.8195	21.7743	14.9009
AYR1	133.23	116.863	127.136	91.7568	127.426	130.384
AYT1	5.23435	4.37065	3.93086	7.57958	5.76464	5.71984
AZF1	11.2232	8.50559	9.17681	5.59596	8.96017	8.06156
AZR1	6.34342	4.87545	5.23362	4.03507	5.12488	5.87428
BAG7	38.3357	37.202	39.8563	28.8695	45.9756	41.6572
BAP2	693.269	509.92	477.349	501.59	542.398	519.6
BAP3	226.516	199.53	218.724	177.825	278.939	261.245
BAR1	44.7436	37.8764	101.483	4.26243	3.22662	3.20793
BAS1	5.44501	5.55998	6.2911	5.47528	5.61443	4.62958
BAT1	1397.34	1264.06	1214.29	1117.29	1469.63	1307.68
BAT2	108.779	97.1824	92.6547	98.7105	130.253	169.721
BBC1	26.0006	24.5539	26.7135	15.57	25.9869	25.6768
BBP1	6.85587	6.49929	5.67708	5.38887	4.5965	5.08191
BCD1	10.3729	10.043	11.227	17.8225	12.0128	10.0475
BCH1	45.8149	37.8619	38.1092	37.6452	43.6646	46.9218
BCH2	23.3048	18.4843	18.1353	15.5369	18.2695	18.5332
BCK1	4.08423	4.5982	4.94314	4.67859	4.30968	3.98645
BCK2	20.086	23.7943	24.5617	17.635	20.3943	17.7061
BCP1	64.0652	56.1449	52.6246	97.3242	53.8812	48.8266
BCS1	20.2409	21.1838	20.5785	17.4736	16.8755	17.0501
BCY1	175.2	137.543	144.757	125.501	153.76	204.502
BDF1	20.2804	23.7741	28.6953	20.4598	19.5933	21.0626
BDF2	43.1592	67.0151	69.7604	34.8264	42.6813	46.5927
BDH1	188.101	165.6	182.089	99.6514	198.117	260.147
BDH2	26.8792	26.1024	30.0017	24.6872	43.2772	48.6201
BDP1	13.2794	16.6533	18.2917	13.1798	12.9238	16.628
BDS1	14.6528	13.398	13.1617	11.4447	16.3724	17.1999
BEM1	15.7176	15.7098	17.6176	11.5613	12.4603	10.2376
BEM2	22.2255	17.621	20.0872	14.9119	16.3364	13.1506
BEM3	14.3211	13.8494	13.4864	9.60465	13.295	12.2826
BEM4	11.344	11.9757	12.4077	9.09245	11.611	10.5134
BER1	57.1201	50.5981	54.4273	55.3889	53.8489	53.7167
BET1	49.7773	50.9053	43.5088	54.1679	40.0881	38.5267
BET2	71.7908	49.1085	50.1401	62.6738	65.098	60.8442
BET3	153.374	111.854	108.635	146.318	115.874	138.09
BET4	27.9067	32.4266	37.101	24.2774	26.55	28.7322
BET5	63.6702	65.5089	69.3206	58.4943	59.8347	57.4954
BFA1	3.47394	2.77516	2.74233	2.43826	2.77347	1.68432
BFR1	161.678	173.28	168.082	153.318	144.871	188.123
BFR2	10.5255	12.4548	11.7401	17.4316	10.7735	8.75925
BGL2	2081.61	1546.78	1560.63	1646.55	1625.4	1811.4
BI2	0	0	2.34707e-06	0	0	0
